time,count_rate
0,32
5,28
10,29
15,28
20,25
25,23
30,26
35,22
40,20
45,23
50,21
55,19
60,19
65,20
70,18
75,16
80,17
85,15
90,16
95,14
100,13
105,12
110,14
115,10
120,13
125,12
130,10
135,10
140,8
145,9
150,10
155,8
160,9
165,7
170,9
175,6
180,7
185,7
190,7
195,8
200,6
205,5
210,5
215,5
220,6
225,6
230,5
235,6
240,4
245,4
250,5
255,6
260,5
265,4
270,2
275,2
280,2
285,3
290,2
295,3
300,3
305,2
310,3
315,3
320,2
325,2
330,1
335,1
340,1
345,2
350,3
355,2
360,1
365,1
370,2
375,2
380,1
385,2
390,1
395,1
400,2
405,2
410,1